Date,HomeTeam,AwayTeam,MW
16/05/2020,Dortmund,Schalke 04,26
16/05/2020,Augsburg,Wolfsburg,26
16/05/2020,Fortuna Dusseldorf,Paderborn,26
16/05/2020,RB Leipzig,Freiburg,26
16/05/2020,Hoffenheim,Hertha,26
16/05/2020,Ein Frankfurt,M'gladbach,26
17/05/2020,FC Koln,Mainz,26
17/05/2020,Union Berlin,Bayern Munich,26
18/05/2020,Werder Bremen,Leverkusen,26
23/05/2020,Bayern Munich,Ein Frankfurt,27
23/05/2020,FC Koln,Fortuna Dusseldorf,27
23/05/2020,Hertha,Union Berlin,27
23/05/2020,M'gladbach,Leverkusen,27
23/05/2020,Mainz,RB Leipzig,27
23/05/2020,Freiburg,Werder Bremen,27
23/05/2020,Paderborn,Hoffenheim,27
23/05/2020,Schalke 04,Augsburg,27
23/05/2020,Wolfsburg,Dortmund,27
26/05/2020,Union Berlin,Mainz,28
26/05/2020,Leverkusen,Wolfsburg,28
26/05/2020,Dortmund,Bayern Munich,28
26/05/2020,Ein Frankfurt,Freiburg,28
26/05/2020,Augsburg,Paderborn,28
26/05/2020,Fortuna Dusseldorf,Schalke 04,28
26/05/2020,Hoffenheim,FC Koln,28
26/05/2020,RB Leipzig,Hertha,28
26/05/2020,Werder Bremen,M'gladbach,28
30/05/2020,Bayern Munich,Fortuna Dusseldorf,29
30/05/2020,FC Koln,RB Leipzig,29
30/05/2020,Hertha,Augsburg,29
30/05/2020,M'gladbach,Union Berlin,29
30/05/2020,Mainz,Hoffenheim,29
30/05/2020,Freiburg,Leverkusen,29
30/05/2020,Paderborn,Dortmund,29
30/05/2020,Schalke 04,Werder Bremen,29
30/05/2020,Wolfsburg,Ein Frankfurt,29
02/06/2020,Werder Bremen,Ein Frankfurt,29
06/06/2020,Union Berlin,Schalke 04,30
06/06/2020,Leverkusen,Bayern Munich,30
06/06/2020,Dortmund,Hertha,30
06/06/2020,Ein Frankfurt,Mainz,30
06/06/2020,Augsburg,FC Koln,30
06/06/2020,Fortuna Dusseldorf,Hoffenheim,30
06/06/2020,RB Leipzig,Paderborn,30
06/06/2020,Freiburg,M'gladbach,30
06/06/2020,Werder Bremen,Wolfsburg,30
13/06/2020,Bayern Munich,M'gladbach,31
13/06/2020,FC Koln,Union Berlin,31
13/06/2020,Fortuna Dusseldorf,Dortmund,31
13/06/2020,Hertha,Ein Frankfurt,31
13/06/2020,Hoffenheim,RB Leipzig,31
13/06/2020,Mainz,Augsburg,31
13/06/2020,Paderborn,Werder Bremen,31
13/06/2020,Schalke 04,Leverkusen,31
13/06/2020,Wolfsburg,Freiburg,31
16/06/2020,Union Berlin,Paderborn,32
16/06/2020,Leverkusen,FC Koln,32
16/06/2020,Dortmund,Mainz,32
16/06/2020,Ein Frankfurt,Schalke 04,32
16/06/2020,Augsburg,Hoffenheim,32
16/06/2020,M'gladbach,Wolfsburg,32
16/06/2020,RB Leipzig,Fortuna Dusseldorf,32
16/06/2020,Freiburg,Hertha,32
16/06/2020,Werder Bremen,Bayern Munich,32
20/06/2020,Bayern Munich,Freiburg,33
20/06/2020,FC Koln,Ein Frankfurt,33
20/06/2020,Fortuna Dusseldorf,Augsburg,33
20/06/2020,Hertha,Leverkusen,33
20/06/2020,Hoffenheim,Union Berlin,33
20/06/2020,Mainz,Werder Bremen,33
20/06/2020,RB Leipzig,Dortmund,33
20/06/2020,Paderborn,M'gladbach,33
20/06/2020,Schalke 04,Wolfsburg,33
27/06/2020,Union Berlin,Fortuna Dusseldorf,34
27/06/2020,Leverkusen,Mainz,34
27/06/2020,Dortmund,Hoffenheim,34
27/06/2020,Ein Frankfurt,Paderborn,34
27/06/2020,Augsburg,RB Leipzig,34
27/06/2020,M'gladbach,Hertha,34
27/06/2020,Freiburg,Schalke 04,34
27/06/2020,Werder Bremen,FC Koln,34
27/06/2020,Wolfsburg,Bayern Munich,34
